SEMBOL;F?YAT;GUN Fark %;1 GUN ONCE HISSE FARK %;SKOR;alt_skor_kurumdan önce;KURUM ALI?-SATI? ANAL?Z?;TAKILDI?I ANAL?ZLER;GEÇEN ANAL?ZLER;OLUSTURULMA_ZAMANI
DAGI;5,54;5,78;0,54;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=4.21, sat??=1.26 | Al??lar: KAMU 1g: +1.34, KAMU 2g: +1.10, KAMU 3g: +1.05, TERA 2g: +0.37, TERA 3g: +0.35 | Sat??lar: BOFA 1g: -0.33, BOFA 2g: -0.42, BOFA 3g: -0.47, TERA 1g: -0.04;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
INFO;3,69;5,69;9,82;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=7.06, sat??=0.86 | Al??lar: BOFA 1g: +2.32, BOFA 2g: +1.83, BOFA 3g: +2.46, TERA 2g: +0.29, TERA 3g: +0.17 | Sat??lar: KAMU 1g: -0.28, KAMU 2g: -0.21, KAMU 3g: -0.37, TERA 1g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ATAGY;12,41;5,56;2,99;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=1.46, sat??=0.31 | Al??lar: BOFA 1g: +0.29, BOFA 2g: +0.50, BOFA 3g: +0.52, KAMU 1g: +0.03, KAMU 2g: +0.06, KAMU 3g: +0.07 | Sat??lar: TERA 2g: -0.15, TERA 3g: -0.16;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
RODRG;16,27;5,53;0,87;4;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.81, sat??=0.22 | Al??lar: BOFA 1g: +0.20, BOFA 2g: +0.27, BOFA 3g: +0.29, KAMU 1g: +0.03, TERA 1g: +0.01 | Sat??lar: KAMU 2g: -0.07, KAMU 3g: -0.07, TERA 2g: -0.04, TERA 3g: -0.04;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ORCAY;7,21;5,41;-0,28;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=2.34, sat??=1.34 | Al??lar: BOFA 1g: +0.42, BOFA 2g: +0.88, BOFA 3g: +0.93, TERA 2g: +0.05, TERA 3g: +0.06 | Sat??lar: KAMU 1g: -0.60, KAMU 2g: -0.37, KAMU 3g: -0.37;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MEPET;9,71;5,36;-2,22;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.44, sat??=0.59 | Al??lar: KAMU 1g: +0.17, KAMU 2g: +0.63, KAMU 3g: +0.63 | Sat??lar: TERA 2g: -0.29, TERA 3g: -0.30;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
IMASM;3,54;5,08;9,94;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=1.37, sat??=0.47 | Al??lar: BOFA 1g: +0.20, BOFA 3g: +0.01, KAMU 1g: +0.16, KAMU 2g: +0.47, KAMU 3g: +0.51, TERA 1g: +0.02 | Sat??lar: BOFA 2g: -0.05, TERA 2g: -0.24, TERA 3g: -0.19;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DMRGD;28;5,07;5,03;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=2.01, sat??=0.56 | Al??lar: BOFA 1g: +0.42, BOFA 2g: +0.59, BOFA 3g: +0.61, TERA 1g: +0.12, TERA 2g: +0.14, TERA 3g: +0.12 | Sat??lar: KAMU 1g: -0.17, KAMU 2g: -0.19, KAMU 3g: -0.20;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
TCKRC;35,94;5,06;2,1;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.81, sat??=0.24 | Al??lar: KAMU 1g: +0.08, KAMU 2g: +0.24, KAMU 3g: +0.24, TERA 2g: +0.12, TERA 3g: +0.12 | Sat??lar: BOFA 1g: -0.07, BOFA 2g: -0.09, BOFA 3g: -0.09;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
HUBVC;2,38;5,04;9,68;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=1.38, sat??=3.27 | Al??lar: BOFA 1g: +0.47, KAMU 2g: +0.45, KAMU 3g: +0.47 | Sat??lar: BOFA 2g: -0.62, BOFA 3g: -0.42, KAMU 1g: -0.34, TERA 2g: -1.02, TERA 3g: -0.88;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
