SEMBOL;F?YAT;GUN Fark %;1 GUN ONCE HISSE FARK %;SKOR;alt_skor_kurumdan önce;KURUM ALI?-SATI? ANAL?Z?;TAKILDI?I ANAL?ZLER;GEÇEN ANAL?ZLER;OLUSTURULMA_ZAMANI
QUAGR;6,63;-0,9;3,43;6;6;Kurum hareketi nötr. Toplam al??=1.73, sat??=1.68 | Al??lar: BOFA 1g: +0.14, BOFA 2g: +0.79, BOFA 3g: +0.81, TERA 1g: +0.00 | Sat??lar: KAMU 1g: -0.23, KAMU 2g: -0.52, KAMU 3g: -0.54, TERA 2g: -0.19, TERA 3g: -0.20;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MARKA;48,58;-0,91;-1,06;2;2;Kurum hareketi nötr. Toplam al??=0.24, sat??=0.28 | Al??lar: BOFA 1g: +0.24 | Sat??lar: BOFA 2g: -0.01, BOFA 3g: -0.01, KAMU 1g: -0.03, KAMU 2g: -0.02, KAMU 3g: -0.02, TERA 2g: -0.10, TERA 3g: -0.10;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif";16.07.2025 21:27
KBORU;11,95;-0,92;-1,16;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.00, sat??=0.48 | Al??lar:  | Sat??lar: BOFA 1g: -0.05, BOFA 2g: -0.05, BOFA 3g: -0.06, KAMU 1g: -0.05, KAMU 2g: -0.09, KAMU 3g: -0.04, TERA 1g: -0.00, TERA 2g: -0.07, TERA 3g: -0.07;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
KRTEK;23,52;-0,94;0,09;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=2.16, sat??=0.54 | Al??lar: BOFA 1g: +0.32, BOFA 2g: +0.39, BOFA 3g: +0.41, KAMU 2g: +0.51, KAMU 3g: +0.54 | Sat??lar: KAMU 1g: -0.15, TERA 2g: -0.19, TERA 3g: -0.20;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
KAYSE;18,98;-0,95;1,33;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.01, sat??=0.14 | Al??lar: TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: BOFA 1g: -0.03, BOFA 2g: -0.00, BOFA 3g: -0.01, KAMU 1g: -0.05, KAMU 2g: -0.02, KAMU 3g: -0.02, TERA 1g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
AZTEK;38,78;-0,98;-0,21;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.87, sat??=1.34 | Al??lar: BOFA 1g: +0.03, BOFA 2g: +0.42, BOFA 3g: +0.42 | Sat??lar: KAMU 1g: -0.17, KAMU 2g: -0.36, KAMU 3g: -0.37, TERA 2g: -0.22, TERA 3g: -0.22;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
LMKDC;28,6;-0,98;-2,12;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=1.35, sat??=4.06 | Al??lar: KAMU 1g: +0.27, KAMU 2g: +0.54, KAMU 3g: +0.52, TERA 2g: +0.02, TERA 3g: +0.01 | Sat??lar: BOFA 1g: -1.03, BOFA 2g: -1.49, BOFA 3g: -1.53, TERA 1g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
VESBE;10,16;-0,98;-2,5;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.11, sat??=0.86 | Al??lar: KAMU 1g: +0.11, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.11, BOFA 2g: -0.35, BOFA 3g: -0.36, KAMU 2g: -0.01, KAMU 3g: -0.01, TERA 2g: -0.02, TERA 3g: -0.02;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BMSCH;18,1;-0,99;0,44;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.09, sat??=1.02 | Al??lar: KAMU 1g: +0.06, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: KAMU 2g: -0.52, KAMU 3g: -0.50;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ULUUN;7,07;-0,99;-0,7;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.06, sat??=0.46 | Al??lar: BOFA 2g: +0.03, BOFA 3g: +0.03 | Sat??lar: BOFA 1g: -0.01, KAMU 1g: -0.02, KAMU 2g: -0.20, KAMU 3g: -0.17, TERA 2g: -0.03, TERA 3g: -0.03;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DEVA;60,25;-1;0,33;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.24, sat??=0.02 | Al??lar: BOFA 1g: +0.00, BOFA 2g: +0.03, BOFA 3g: +0.03, KAMU 1g: +0.03, KAMU 2g: +0.07, KAMU 3g: +0.07 | Sat??lar: TERA 2g: -0.01, TERA 3g: -0.01;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ANGEN;10,9;-1,01;2,16;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=1.57, sat??=0.10 | Al??lar: BOFA 1g: +0.29, BOFA 2g: +0.23, BOFA 3g: +0.25, KAMU 1g: +0.22, KAMU 2g: +0.29, KAMU 3g: +0.29, TERA 1g: +0.00 | Sat??lar: TERA 2g: -0.05, TERA 3g: -0.05;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
TLMAN;78,8;-1,02;-0,19;4;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.39, sat??=0.12 | Al??lar: BOFA 1g: +0.10, BOFA 2g: +0.00, BOFA 3g: +0.00, TERA 2g: +0.14, TERA 3g: +0.14 | Sat??lar: KAMU 1g: -0.05, KAMU 2g: -0.04, KAMU 3g: -0.04;"EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
XU100;10225,48;-1,02;-1,28;6;6;Kurum hareketi nötr. Toplam al??=0.00, sat??=0.00 | Al??lar:  | Sat??lar: ;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
EKSUN;5,77;-1,04;-0,17;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.77, sat??=0.34 | Al??lar: BOFA 1g: +0.20, BOFA 2g: +0.43, BOFA 3g: +0.46, KAMU 1g: +0.06, KAMU 2g: +0.30, KAMU 3g: +0.32 | Sat??lar: TERA 1g: -0.09, TERA 2g: -0.11, TERA 3g: -0.14;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ALARK;86;-1,05;-4,39;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.28, sat??=0.96 | Al??lar: KAMU 1g: +0.11, KAMU 2g: +0.06, KAMU 3g: +0.07, TERA 1g: +0.00, TERA 2g: +0.02, TERA 3g: +0.02 | Sat??lar: BOFA 1g: -0.25, BOFA 2g: -0.35, BOFA 3g: -0.36;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MNDTR;5,66;-1,06;1,98;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.31, sat??=0.02 | Al??lar: BOFA 1g: +0.05, BOFA 3g: +0.01, KAMU 1g: +0.06, KAMU 2g: +0.09, KAMU 3g: +0.10 | Sat??lar: BOFA 2g: -0.00, TERA 1g: -0.00, TERA 2g: -0.01, TERA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
GOODY;16,97;-1,06;-0,41;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.22, sat??=0.11 | Al??lar: BOFA 1g: +0.29, BOFA 2g: +0.45, BOFA 3g: +0.47, TERA 1g: +0.00 | Sat??lar: KAMU 1g: -0.04, KAMU 2g: -0.01, KAMU 3g: -0.01, TERA 2g: -0.02, TERA 3g: -0.02;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
PNSUT;9,33;-1,07;-0,43;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.29, sat??=0.58 | Al??lar: BOFA 1g: +0.09, BOFA 2g: +0.09, BOFA 3g: +0.10 | Sat??lar: KAMU 1g: -0.26, KAMU 2g: -0.15, KAMU 3g: -0.15, TERA 2g: -0.01, TERA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ALKA;7,39;-1,08;1,79;4;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.64, sat??=0.43 | Al??lar: BOFA 1g: +0.02, BOFA 2g: +0.18, BOFA 3g: +0.19, KAMU 1g: +0.07, KAMU 2g: +0.09, KAMU 3g: +0.08, TERA 1g: +0.01 | Sat??lar: TERA 2g: -0.22, TERA 3g: -0.21;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ASGYO;11,07;-1,08;0,73;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.25, sat??=0.66 | Al??lar: KAMU 1g: +0.09, KAMU 2g: +0.08, KAMU 3g: +0.08 | Sat??lar: BOFA 1g: -0.19, BOFA 2g: -0.21, BOFA 3g: -0.23, TERA 2g: -0.01, TERA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MRSHL;1377;-1,09;0,07;2;3;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.53, sat??=0.68 | Al??lar: BOFA 1g: +0.10, BOFA 2g: +0.20, BOFA 3g: +0.20, TERA 1g: +0.02 | Sat??lar: KAMU 1g: -0.22, KAMU 2g: -0.21, KAMU 3g: -0.21, TERA 2g: -0.01, TERA 3g: -0.01;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
BERA;14,68;-1,09;-1,54;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.02, sat??=0.36 | Al??lar: TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: BOFA 1g: -0.04, BOFA 2g: -0.09, BOFA 3g: -0.09, KAMU 1g: -0.04, KAMU 2g: -0.05, KAMU 3g: -0.05, TERA 1g: -0.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
OZATD;189;-1,11;7,39;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.68, sat??=2.17 | Al??lar: BOFA 1g: +0.50, TERA 1g: +0.00, TERA 2g: +0.09, TERA 3g: +0.09 | Sat??lar: BOFA 2g: -0.27, BOFA 3g: -0.27, KAMU 1g: -0.82, KAMU 2g: -0.41, KAMU 3g: -0.41;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ECZYT;178,2;-1,12;-1,16;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.10, sat??=0.18 | Al??lar: BOFA 2g: +0.03, BOFA 3g: +0.03, KAMU 1g: +0.03 | Sat??lar: BOFA 1g: -0.01, KAMU 2g: -0.08, KAMU 3g: -0.08, TERA 2g: -0.00, TERA 3g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
RNPOL;29,78;-1,14;-0,07;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.63, sat??=0.02 | Al??lar: BOFA 1g: +0.10, BOFA 2g: +0.15, BOFA 3g: +0.15, KAMU 2g: +0.10, KAMU 3g: +0.09, TERA 1g: +0.01, TERA 2g: +0.02, TERA 3g: +0.02 | Sat??lar: KAMU 1g: -0.02;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ALGYO;19,8;-1,16;0,51;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.61, sat??=0.33 | Al??lar: BOFA 1g: +0.07, BOFA 2g: +0.10, BOFA 3g: +0.10, TERA 2g: +0.18, TERA 3g: +0.17 | Sat??lar: KAMU 1g: -0.12, KAMU 2g: -0.11, KAMU 3g: -0.11;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MAGEN;36,3;-1,16;-4,17;5;5;Kurum hareketi nötr. Toplam al??=0.80, sat??=0.71 | Al??lar: KAMU 1g: +0.19, KAMU 2g: +0.15, KAMU 3g: +0.14, TERA 1g: +0.01, TERA 2g: +0.17, TERA 3g: +0.15 | Sat??lar: BOFA 1g: -0.29, BOFA 2g: -0.21, BOFA 3g: -0.22;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
GLBMD;11,14;-1,17;1,36;5;5;Kurum hareketi nötr. Toplam al??=1.14, sat??=1.14 | Al??lar: BOFA 1g: +0.30, BOFA 2g: +0.29, BOFA 3g: +0.31, TERA 2g: +0.12, TERA 3g: +0.11 | Sat??lar: KAMU 1g: -0.28, KAMU 2g: -0.41, KAMU 3g: -0.42, TERA 1g: -0.03;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MERCN;23,8;-1,18;-1,24;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.43, sat??=2.08 | Al??lar: KAMU 1g: +0.43, TERA 1g: +0.01 | Sat??lar: BOFA 1g: -0.85, BOFA 2g: -0.22, BOFA 3g: -0.25, KAMU 2g: -0.17, KAMU 3g: -0.13, TERA 2g: -0.24, TERA 3g: -0.23;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
OYLUM;9,25;-1,19;1,31;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.52, sat??=1.09 | Al??lar: BOFA 1g: +0.06, BOFA 2g: +0.23, BOFA 3g: +0.23 | Sat??lar: KAMU 1g: -0.21, KAMU 2g: -0.32, KAMU 3g: -0.35, TERA 2g: -0.10, TERA 3g: -0.11;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
RUBNS;19,36;-1,19;0,68;5;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.41, sat??=0.32 | Al??lar: BOFA 1g: +0.04, BOFA 2g: +0.08, BOFA 3g: +0.08, TERA 1g: +0.01, TERA 2g: +0.10, TERA 3g: +0.10 | Sat??lar: KAMU 1g: -0.16, KAMU 2g: -0.08, KAMU 3g: -0.09;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DGNMO;6,67;-1,2;0;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.09, sat??=0.12 | Al??lar: BOFA 1g: +0.00, KAMU 1g: +0.03, KAMU 2g: +0.03, KAMU 3g: +0.03, TERA 1g: +0.00 | Sat??lar: BOFA 2g: -0.05, BOFA 3g: -0.05, TERA 2g: -0.01, TERA 3g: -0.01;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
IEYHO;14,17;-1,2;-0,35;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.02, sat??=0.61 | Al??lar: KAMU 1g: +0.02, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.24, BOFA 2g: -0.00, BOFA 3g: -0.02, KAMU 2g: -0.17, KAMU 3g: -0.16, TERA 2g: -0.01, TERA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; Stochastic K < 30; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif";16.07.2025 21:27
BRISA;73,75;-1,22;-0,61;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.00, sat??=0.16 | Al??lar: TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.03, BOFA 2g: -0.04, BOFA 3g: -0.04, KAMU 1g: -0.01, KAMU 2g: -0.01, KAMU 3g: -0.01, TERA 2g: -0.01, TERA 3g: -0.01;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
CMBTN;2035;-1,23;-0,44;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.43, sat??=0.13 | Al??lar: BOFA 2g: +0.04, BOFA 3g: +0.04, KAMU 1g: +0.06, KAMU 2g: +0.14, KAMU 3g: +0.14, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: BOFA 1g: -0.13;"Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
TERA;428,25;-1,23;-3,44;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=3.71, sat??=2.78 | Al??lar: KAMU 1g: +0.00, TERA 1g: +0.89, TERA 2g: +1.41, TERA 3g: +1.41 | Sat??lar: BOFA 1g: -1.01, BOFA 2g: -0.54, BOFA 3g: -0.54, KAMU 2g: -0.34, KAMU 3g: -0.34;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
GUBRF;240;-1,25;0,17;1;2;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.06, sat??=1.41 | Al??lar: BOFA 1g: +0.06, TERA 1g: +0.00 | Sat??lar: BOFA 2g: -0.58, BOFA 3g: -0.58, KAMU 1g: -0.12, KAMU 2g: -0.05, KAMU 3g: -0.05, TERA 2g: -0.02, TERA 3g: -0.02;"EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
GOZDE;18,44;-1,25;-0,75;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=2.74, sat??=2.15 | Al??lar: KAMU 1g: +0.50, KAMU 2g: +1.11, KAMU 3g: +1.12, TERA 1g: +0.02 | Sat??lar: BOFA 1g: -0.54, BOFA 2g: -0.66, BOFA 3g: -0.68, TERA 2g: -0.13, TERA 3g: -0.13;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ASTOR;92,3;-1,25;-1,34;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.06, sat??=0.25 | Al??lar: KAMU 1g: +0.03, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: BOFA 1g: -0.07, BOFA 2g: -0.09, BOFA 3g: -0.09, KAMU 2g: -0.01, KAMU 3g: -0.01, TERA 1g: -0.00;"RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
BUCIM;7,13;-1,26;-0,56;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.38, sat??=0.10 | Al??lar: KAMU 1g: +0.11, KAMU 2g: +0.13, KAMU 3g: +0.14, TERA 2g: +0.00 | Sat??lar: BOFA 1g: -0.02, BOFA 2g: -0.04, BOFA 3g: -0.04, TERA 1g: -0.00, TERA 3g: -0.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
X30YVADE;11959;-1,27;-1,39;5;5;Kurum hareketi nötr. Toplam al??=0.00, sat??=0.00 | Al??lar:  | Sat??lar: ;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
JANTS;20,28;-1,28;0,5;3;3;Kurum hareketi nötr. Toplam al??=0.17, sat??=0.17 | Al??lar: KAMU 1g: +0.02, KAMU 2g: +0.08, KAMU 3g: +0.08 | Sat??lar: BOFA 1g: -0.02, BOFA 2g: -0.06, BOFA 3g: -0.06, TERA 2g: -0.02, TERA 3g: -0.02;"EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
